"","abrev","Yindex","Year","FelOth","CivAdd","Total","DesCap","PercCap","StaffCap","name"
"227","SCC",563,2000,325,0,325,320,101.6,320,NA
"228","VSP",572,2000,3428,7,3435,1980,173.5,3503,NA
"229","FEMALE",599,2000,10095,545,10640,6230,170.8,10625,NA
"230","INSTITUTIONS/CAMPS",636,2000,151752,2050,153802,80367,191.4,153649,NA
"231","ASP",119,2001,6852,0,6852,2920,234.7,6978,NA
"232","CCC",128,2001,5880,0,5880,3682,159.7,5642,NA
"233","CCI",137,2001,5544,0,5544,2781,199.4,5741,NA
"234","CIM",146,2001,6116,18,6134,3078,199.3,6303,NA
"235","CMF",164,2001,3268,0,3268,2315,141.2,3401,NA
"236","CMC",173,2001,6573,1,6574,3884,169.3,6604,NA
"237","CRC",182,2001,2697,1268,3965,1814,218.6,3952,NA
"238","CAL",191,2001,4138,0,4138,2208,187.4,4068,NA
"239","CEN",210,2001,4450,0,4450,2208,201.5,4693,NA
"240","COR",219,2001,5112,1,5113,3016,169.5,5140,NA
"241","LAC",228,2001,4124,0,4124,2200,187.5,4140,NA
"242","SAC",237,2001,3015,0,3015,1728,174.5,3042,NA
"243","SQ",255,2001,5549,9,5558,3273,169.8,5533,NA
"244","SOL",264,2001,5751,0,5751,2610,220.3,5852,NA
"245","CVSP",282,2001,3620,0,3620,1738,208.3,3664,NA
"246","CTF",300,2001,6503,0,6503,3281,198.2,6601,NA
"247","DVI",309,2001,3811,18,3829,1787,214.3,3941,NA
"248","FOL",318,2001,3819,0,3819,2072,184.3,3725,NA
"249","HDP",327,2001,4256,3,4259,2224,191.5,4310,NA
"250","IRON",346,2001,4599,0,4599,2200,209,4565,NA
"251","MCSP",355,2001,3493,0,3493,1700,205.5,3697,NA
"252","NKSP",364,2001,4917,3,4920,2692,182.8,5089,NA
"253","PDC",373,2001,1430,0,1430,0,0,1292,NA
"254","PBSP",391,2001,3366,0,3366,2280,147.6,3494,NA
"255","PVSP",400,2001,4641,0,4641,2208,210.2,4573,NA
"256","RIO",409,2001,282,3,285,0,0,250,NA
"257","RJD",418,2001,4627,0,4627,2200,210.3,4673,NA
"258","SVSP",436,2001,4223,0,4223,2224,189.9,4156,NA
"259","SRTA",445,2001,750,0,750,0,0,750,NA
"260","SCC",454,2001,5972,0,5972,3606,165.6,5869,NA
"261","WSP",463,2001,5544,17,5561,2984,186.4,5797,NA
"262","MALE",491,2001,141248,1348,142596,74237,192.1,143985,NA
"263","CIW",536,2001,1779,7,1786,1026,174.1,1742,NA
"264","CRC",545,2001,434,365,799,500,159.8,751,NA
